measurement_id,sample_id,protein_id,protein_name,uniprot_id,gene_symbol,rfu_value,normalized_value,z_score,detection_status
MEAS00001,SAMP001,PROT001,Amyloid-beta protein 40,P05067,APP,2456.8,1.85,0.42,Detected
MEAS00002,SAMP001,PROT002,Amyloid-beta protein 42,P05067,APP,1823.4,1.62,-0.15,Detected
MEAS00003,SAMP001,PROT003,Tau protein,P10636,MAPT,3421.5,2.12,0.87,Detected
MEAS00004,SAMP001,PROT004,Phospho-Tau (pT181),P10636,MAPT,567.9,0.95,-0.32,Detected
MEAS00005,SAMP001,PROT005,Neurofilament light chain,P07196,NEFL,1245.7,1.45,0.18,Detected
MEAS00006,SAMP001,PROT006,GFAP,P14136,GFAP,892.3,1.12,-0.08,Detected
MEAS00007,SAMP001,PROT007,YKL-40,P36222,CHI3L1,2134.6,1.78,0.55,Detected
MEAS00008,SAMP001,PROT008,Neurogranin,Q92686,NRGN,445.2,0.82,-0.48,Detected
MEAS00009,SAMP001,PROT009,VILIP-1,P37235,VSNL1,678.9,0.98,-0.25,Detected
MEAS00010,SAMP001,PROT010,S100B,P04271,S100B,1567.4,1.52,0.28,Detected
MEAS00011,SAMP002,PROT001,Amyloid-beta protein 40,P05067,APP,8923.5,3.45,2.18,Detected
MEAS00012,SAMP002,PROT002,Amyloid-beta protein 42,P05067,APP,4567.8,2.78,1.65,Detected
MEAS00013,SAMP002,PROT003,Tau protein,P10636,MAPT,9876.4,3.82,2.55,Detected
MEAS00014,SAMP002,PROT004,Phospho-Tau (pT181),P10636,MAPT,2345.6,1.98,1.12,Detected
MEAS00015,SAMP002,PROT005,Neurofilament light chain,P07196,NEFL,3456.2,2.25,1.28,Detected
MEAS00016,SAMP002,PROT006,GFAP,P14136,GFAP,2134.8,1.85,0.92,Detected
MEAS00017,SAMP002,PROT007,YKL-40,P36222,CHI3L1,5432.1,2.92,1.78,Detected
MEAS00018,SAMP002,PROT008,Neurogranin,Q92686,NRGN,1876.5,1.72,0.85,Detected
MEAS00019,SAMP002,PROT009,VILIP-1,P37235,VSNL1,2234.7,1.92,1.05,Detected
MEAS00020,SAMP002,PROT010,S100B,P04271,S100B,3567.9,2.35,1.42,Detected
MEAS00021,SAMP003,PROT001,Amyloid-beta protein 40,P05067,APP,2523.4,1.88,0.45,Detected
MEAS00022,SAMP003,PROT002,Amyloid-beta protein 42,P05067,APP,1897.6,1.65,-0.12,Detected
MEAS00023,SAMP003,PROT003,Tau protein,P10636,MAPT,3512.8,2.15,0.92,Detected
